#,Name,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Year
24,"Brown-Dukes, Brandon",16,0,0,0-0,0-0,0,0-0,0,96,2012
97,"Wakefield, Steven",0,10,0,39-45,0-0,0,0-0,0,69,2012
17,"Woods, Devyn",9,0,0,0-0,0-0,1,0-0,0,56,2012
,"Ii, Allen jones  Ii",8,0,0,0-0,0-0,0,0-0,0,48,2012
1,"Bruner, Paris",5,0,0,0-0,0-0,0,0-0,0,30,2012
4,"Vendemia, Anthony",4,0,0,0-0,0-0,0,1-3,0,24,2012
40,"Groene, Jeff",2,0,0,0-0,0-0,0,0-0,0,12,2012
34,"Gallop, Leon",1,0,0,0-0,0-0,0,0-0,0,6,2012
49,"Revell, Milton",1,0,0,0-0,0-0,0,0-0,0,6,2012
27,"Robinson, Linnell",1,0,0,0-0,0-0,0,0-0,0,6,2012
7,"Rock, Vladmir",1,0,0,0-0,0-0,0,0-0,0,6,2012
21,"Stevens, L.J.",1,0,0,0-0,0-0,0,0-0,0,6,2012
26,"Kimball, Colin",0,0,0,0-0,1-1,0,0-0,0,2,2012
54,"Latimer, T.J.",0,0,1,0-0,0-0,0,0-0,0,2,2012
,Total,49,10,1,39-45,1-1,1,1-3,0,369,2012
,Opponents,34,5,1,33-33,1-1,0,0-0,0,256,2012
97,"Wakefield, Steven",0,16,0,41-42,0-0,0,0-0,0,89,2013
24,"Brown-Dukes, Brandon",8,0,0,0-0,0-0,0,0-0,0,48,2013
,"Ii, Allen jones  Ii",7,0,0,0-0,0-0,0,0-0,0,42,2013
8,"II, Allen",7,0,0,0-0,0-0,0,0-0,0,42,2013
,"Snipes, Marcus  Snipes",4,0,0,0-0,0-0,0,0-0,0,24,2013
40,"Groene, Jeff",3,0,0,0-0,0-0,0,0-0,0,18,2013
6,"Sanders, Richie",3,0,0,0-0,0-0,0,0-0,0,18,2013
17,"Williams, Jaquan",3,0,0,0-0,0-0,0,0-0,0,18,2013
84,"Hyland, Matt",2,0,0,0-0,0-0,0,0-0,0,12,2013
26,"Kimball, Colin",2,0,0,0-0,0-0,0,0-0,0,12,2013
48,"Latimer, T.J.",2,0,0,0-0,0-0,0,0-0,0,12,2013
14,"Robinson, Drew",2,0,0,0-0,0-0,0,0-0,0,12,2013
4,"Vendemia, Anthony",2,0,0,0-0,0-0,0,0-0,0,12,2013
87,"Barry, Pat",1,0,0,0-0,0-0,0,0-0,0,6,2013
3,"Briggs, Kyle",1,0,0,0-0,0-0,0,0-0,0,6,2013
28,"Lyle, Chris",1,0,0,0-0,0-0,0,0-0,0,6,2013
25,"Miller, R.J.",1,0,0,0-0,0-0,0,0-0,0,6,2013
5,"Swartz, Alec",1,0,0,0-0,0-0,0,0-0,0,6,2013
81,"Yarbrough, Stephen",1,0,0,0-0,0-0,0,0-0,0,6,2013
99,"Spangler, Jordan",0,1,0,1-2,0-0,0,0-0,0,4,2013
,Team  Team,0,0,2,0-0,0-0,0,0-0,0,4,2013
,Total,51,17,2,42-44,0-0,0,0-0,0,403,2013
,Opponents,31,6,0,26-30,0-1,0,0-0,0,230,2013
93,"Kondis, Dylan",0,4,0,43-43,0-0,0,0-0,0,55,2014
24,"Brown-Dukes, Brandon",7,0,0,0-0,0-0,0,0-0,0,42,2014
81,"Yarbrough, Stephen",7,0,0,0-0,0-0,0,0-0,0,42,2014
17,"Williams, Jaquan",5,0,0,0-0,0-0,1,0-0,0,32,2014
25,"Miller, R.J.",5,0,0,0-0,0-0,0,0-0,0,30,2014
48,"Latimer, T.J.",4,0,0,0-0,0-0,0,0-0,0,24,2014
13,"Boylan, Brendan",3,0,0,0-0,0-0,0,1-1,0,18,2014
27,"Robinson, Drew",3,0,0,0-0,0-0,0,0-0,0,18,2014
16,"Emerick, Zach",2,0,0,0-0,0-0,0,0-0,0,12,2014
85,"Holl, Donny",2,0,0,0-0,0-0,0,0-0,0,12,2014
26,"Kimball, Colin",2,0,0,0-0,0-0,0,0-0,0,12,2014
21,"Foster, Michael",1,0,0,0-0,0-0,0,0-0,0,6,2014
89,"Matarazzo, John",1,0,0,0-0,0-0,0,0-0,0,6,2014
88,"Miller, Andrew",1,0,0,0-0,0-0,0,0-0,0,6,2014
35,"Misterman, Alex",1,0,0,0-0,0-0,0,0-0,0,6,2014
,Total,44,4,0,43-43,0-0,1,1-1,0,321,2014
,Opponents,40,8,0,28-35,1-2,1,1-3,0,296,2014
1,"Williams, FJ",9,0,0,0-0,0-0,0,0-0,0,54,2015
93,"Kondis, Dylan",0,3,0,35-39,0-0,0,0-0,0,44,2015
24,"Brown-Dukes, Brandon",6,0,0,0-0,0-0,0,0-0,0,36,2015
17,"Williams, Jaquan",6,0,0,0-0,0-0,0,0-0,0,36,2015
89,"Matarazzo, John",5,0,0,0-0,0-0,0,0-0,0,30,2015
48,"Latimer, T.J.",4,0,0,0-0,0-0,0,0-0,0,24,2015
5,"Sanders, Richie",3,0,0,0-0,0-0,0,0-0,0,18,2015
16,"Emerick, Zach",2,0,0,0-0,0-0,0,0-0,0,12,2015
27,"Robinson, Drew",2,0,0,0-0,0-0,0,0-0,0,12,2015
83,"Bongiorni, Dylan",1,0,0,0-0,0-0,0,0-0,0,6,2015
13,"Boylan, Brendan",1,0,0,0-0,0-0,0,0-0,0,6,2015
4,"Stewart, Tevin",1,0,0,0-0,0-0,0,0-0,0,6,2015
19,"Weaver, Logan",1,0,0,0-0,0-0,0,0-1,0,6,2015
,Total,41,3,0,35-39,0-0,0,0-2,0,290,2015
,Opponents,46,6,0,43-46,0-0,0,0-0,0,337,2015
93,"Kondis, Dylan",0,10,0,33-35,0-0,0,0-0,0,63,2016
5,"Sanders, Richie",10,0,0,0-0,0-0,0,0-0,0,60,2016
80,"Novak, Brad",6,0,0,0-0,0-0,0,0-0,0,36,2016
15,"Altavilla, Doug",4,0,0,0-0,0-0,0,1-3,0,24,2016
13,"Clay, Danavian",4,0,0,0-0,0-0,0,0-0,0,24,2016
85,"Mostoller, Bryce",3,0,0,0-0,0-0,1,0-0,0,20,2016
36,"Bauer, Pierce",2,0,0,0-0,0-0,0,0-0,0,12,2016
3,"Briggs, Kyle",2,0,0,0-0,0-0,0,0-0,0,12,2016
8,"Matthews, Brian",2,0,0,0-0,0-0,0,0-0,0,12,2016
27,"Robinson, Drew",2,0,0,0-0,0-0,0,0-0,0,12,2016
22,"Ellis, Tarique",1,0,0,0-0,0-0,0,0-0,0,6,2016
14,"Smith, Zach",1,0,0,0-0,0-0,0,0-0,0,6,2016
88,"Waldron, Clay",1,0,0,0-0,0-0,0,0-0,0,6,2016
,Team  Team,0,0,1,0-0,0-0,0,0-0,0,2,2016
,Total,38,10,1,33-35,0-0,1,1-3,0,295,2016
,Opponents,55,8,1,50-55,0-0,0,0-0,1,408,2016
80,"Novak, Brad",10,0,0,0-0,0-0,2,0-0,0,64,2017
21,"Owens, Garrett",9,0,0,0-0,0-0,0,0-0,0,54,2017
,"Shafer, Mark  Shafer",0,6,0,22-26,0-0,0,0-0,0,40,2017
15,"Altavilla, Doug",4,0,0,0-0,0-0,0,3-5,0,24,2017
,"Blackston, Theo  Blackston",3,0,0,0-0,0-0,0,0-0,0,18,2017
2,"Smith, E'Andre",2,0,0,0-0,0-0,0,0-0,0,12,2017
27,"Taylor, Grayson",2,0,0,0-0,0-0,0,0-0,0,12,2017
8,"Hence, Austin",1,0,0,0-0,0-0,0,0-0,0,6,2017
40,"Scro, Joseph",1,0,0,0-0,0-0,0,0-0,0,6,2017
14,"Smith, Zach",0,0,0,0-0,0-0,1,0-0,0,2,2017
99,"Cole, Brendan",0,0,0,1-1,0-0,0,0-0,0,1,2017
,Total,32,6,0,23-27,0-0,3,3-5,0,239,2017
,Opponents,31,11,3,25-28,0-1,1,1-2,0,252,2017
21,"Owens, Garrett",9,0,0,0-0,0-0,0,0-0,0,54,2018
,"Shafer, Mark  Shafer",0,6,0,25-26,0-0,0,0-0,0,43,2018
23,"Waldron, Clay",4,0,0,0-0,0-0,0,0-0,0,24,2018
15,"Altavilla, Doug",3,0,0,0-0,0-0,0,1-2,0,18,2018
25,"Green, Fredrick",3,0,0,0-0,0-0,0,0-0,0,18,2018
3,"Hence, Austin",2,0,0,0-0,0-0,0,0-0,0,12,2018
85,"Mostoller, Bryce",2,0,0,0-0,0-0,0,0-0,0,12,2018
83,"Altavilla, Nick",1,0,0,0-0,0-0,1,0-0,0,8,2018
,"Blackston, T  Blackston",1,0,0,0-0,0-0,0,0-0,0,6,2018
28,"Cooper, Diondre",1,0,0,0-0,0-0,0,0-0,0,6,2018
,"Redwood, Dante  Redwood",1,0,0,0-0,0-0,0,0-0,0,6,2018
4,"Watson, Cortez",1,0,0,0-0,0-0,0,0-0,0,6,2018
,Team  Team,0,0,1,0-0,0-0,0,0-0,0,2,2018
,Total,28,6,1,25-26,0-0,1,1-2,0,215,2018
,Opponents,28,11,0,25-26,1-1,0,0-1,0,228,2018
21,"Owens, Garrett",18,0,0,0-0,1-1,0,0-0,0,110,2019
,Mark shafer jr  Mark shafer jr,0,4,0,32-36,0-0,0,0-0,0,44,2019
36,"Armstrong, Jason",6,0,0,0-0,0-0,0,0-0,0,36,2019
4,"Watson, Cortez",3,0,0,0-0,0-0,0,0-0,0,18,2019
5,"Altavilla, Nick",2,0,0,0-0,0-0,1,0-0,0,14,2019
3,"Hence, Austin",2,0,0,0-0,0-0,0,0-0,0,12,2019
7,"Scro, Joseph",2,0,0,0-0,0-0,0,0-0,0,12,2019
23,"Waldron, Clay",2,0,0,0-0,0-0,0,0-0,0,12,2019
15,"Altavilla, Doug",1,0,0,0-0,0-0,0,1-1,0,6,2019
31,"Holl, Jacob",1,0,0,0-0,0-0,0,0-0,0,6,2019
20,"Isom, Daquan",1,0,0,0-0,0-0,0,0-0,0,6,2019
10,"Placke, Marcus",1,0,0,0-0,0-0,0,0-0,0,6,2019
37,"Shoaf, Dustin",1,0,0,0-0,0-0,0,0-0,0,6,2019
99,"Cole, Brendan",0,1,0,0-0,0-0,0,0-0,0,3,2019
91,"Anzevino, Cameron",0,0,0,2-2,0-0,0,0-0,0,2,2019
,Team  Team,0,0,1,0-0,0-0,0,0-0,0,2,2019
,Total,40,5,1,34-38,1-1,1,1-1,0,295,2019
,Opponents,35,8,1,29-30,0-1,1,1-4,0,267,2019
82,"Barmore, Cameron",1,0,0,0-0,0-0,0,0-0,0,6,2020
7,"Jr., Justin",1,0,0,0-0,0-0,0,0-0,0,6,2020
7,"Jr., Justin",1,0,0,0-0,0-0,0,0-0,0,6,2020
9,"Shoaf, Dustin",1,0,0,0-0,0-0,0,0-0,0,6,2020
,Ethanziegenfuss  Ethanziegenfuss,0,0,0,3-3,0-0,0,0-0,0,3,2020
,Total,4,0,0,3-3,0-0,0,0-0,0,27,2020
,Opponents,3,2,0,2-2,0-0,1,1-1,0,28,2020
12,"Alsobrooks, Brian",0,11,0,17-18,0-0,0,0-0,0,50,2021
6,"Armstrong, Jason",4,0,0,0-0,0-0,0,0-0,0,24,2021
3,"Barmore, Cameron",4,0,0,0-0,0-0,0,0-0,0,24,2021
25,"Alize, David",3,0,0,0-0,0-0,0,0-0,0,18,2021
86,"Tate, Trevon",2,0,0,0-0,0-0,0,0-0,0,12,2021
,Brianalsobrooks  Brianalsobrooks,0,2,0,2-2,0-0,0,0-0,0,8,2021
,"Alsobrooks, Bria  Alsobrooks",0,1,0,3-3,0-0,0,0-0,0,6,2021
48,"Banas, Sean",1,0,0,0-0,0-0,0,0-0,0,6,2021
80,"Burris, Makai",1,0,0,0-0,0-0,0,0-0,0,6,2021
19,"Carter, Joe",1,0,0,0-0,0-0,0,0-0,0,6,2021
16,"Davison, Rylan",1,0,0,0-0,0-0,0,0-0,0,6,2021
11,"Funa, Ryan",1,0,0,0-0,0-0,0,0-0,0,6,2021
17,"Gregory, Jehrod",1,0,0,0-0,0-0,0,0-0,0,6,2021
7,"Jr., Justin",1,0,0,0-0,0-0,0,0-0,0,6,2021
7,"Jr., Justin",1,0,0,0-0,0-0,0,0-0,0,6,2021
31,"Rodriguez, Ayron",1,0,0,0-0,0-0,0,0-0,0,6,2021
2,"Burrows, Bradley",0,0,1,0-0,0-0,0,0-0,0,2,2021
,Total,22,14,1,22-23,0-0,0,0-0,0,198,2021
,Opponents,36,8,0,28-33,0-1,1,1-2,0,270,2021
12,"Alsobrooks, Brian",0,10,0,27-29,0-0,0,0-0,0,57,2022
9,"Shoaf, Dustin",7,0,0,0-0,0-0,0,0-0,0,42,2022
2,"Barmore, Cameron",6,0,0,0-0,0-0,0,0-0,0,36,2022
1,"Alize, David",4,0,0,0-0,0-0,0,0-0,0,24,2022
87,"Kerbacher, Joe",3,0,0,0-0,0-0,0,0-0,0,18,2022
86,"Tate, Trevon",3,0,0,0-0,0-0,0,0-0,0,18,2022
10,"Lowery, Michael",1,0,0,0-0,0-0,1,1-1,0,8,2022
,"Alsobrooks, Bri  Alsobrooks",0,1,0,4-4,0-0,0,0-0,0,7,2022
6,"Armstrong, Jason",1,0,0,0-0,0-0,0,0-0,0,6,2022
28,"Butera, Jaylen",1,0,0,0-0,0-0,0,0-0,0,6,2022
3,"Ferretti, Dillon",1,0,0,0-0,0-0,0,0-0,0,6,2022
7,"Jr., Justin",1,0,0,0-0,0-0,0,0-0,0,6,2022
7,"Jr., Justin",1,0,0,0-0,0-0,0,0-0,0,6,2022
85,"Mizgorski, Darin",1,0,0,0-0,0-0,0,0-0,0,6,2022
27,"Rodriguez, Ayron",1,0,0,0-0,0-0,0,0-0,0,6,2022
,Total,31,11,0,31-33,0-0,1,1-1,0,252,2022
,Opponents,38,14,0,34-38,0-0,0,0-0,0,304,2022
28,"Butera, Jaylen",7,0,0,0-0,0-0,0,0-0,0,42,2023
9,"Shoaf, Dustin",5,0,0,0-0,0-0,0,0-0,0,30,2023
94,"Nagucki, Nathan",0,2,0,23-28,0-0,0,0-0,0,29,2023
2,"Barmore, Cameron",4,0,0,0-0,0-0,0,0-0,0,24,2023
14,"Black, Braydon",4,0,0,0-0,0-0,0,0-0,0,24,2023
8,"Davison, Rylan",4,0,0,0-0,0-0,0,0-0,0,24,2023
7,"Kerbacher, Joe",4,0,0,0-0,0-0,0,0-0,0,24,2023
13,"Urena, Austin",2,0,0,0-0,0-0,0,0-0,0,12,2023
48,"Banas, Sean",1,0,0,0-0,0-0,0,0-0,0,6,2023
4,"Mizgorski, Darin",1,0,0,0-0,0-0,0,0-0,0,6,2023
15,"Pappas, Mike",1,0,0,0-0,0-0,0,0-0,0,6,2023
3,"Rodriguez, Ayron",1,0,0,0-0,0-0,0,0-0,0,6,2023
6,"Tate, Trevon",1,0,0,0-0,0-0,0,0-0,0,6,2023
16,"Urena, Adam",0,0,0,0-0,0-0,2,2-3,0,4,2023
,Total,35,2,0,23-30,0-1,2,2-4,0,243,2023
,Opponents,64,7,1,55-62,0-0,0,0-2,0,462,2023
2,"Barmore, Cameron",13,0,0,0-0,0-0,0,0-0,0,78,2024
94,"Nagucki, Nathan",0,7,0,30-35,0-0,0,0-0,0,51,2024
8,"Davison, Rylan",6,0,0,0-0,0-0,0,0-0,0,36,2024
1,"Trobel, Brian",6,0,0,0-0,0-0,0,0-0,0,36,2024
3,"Rodriguez, Ayron",4,0,0,0-0,0-0,0,0-0,0,24,2024
13,"Urena, Austin",3,0,0,0-0,0-0,0,0-0,0,18,2024
14,"Black, Braydon",2,0,0,0-0,0-0,0,0-0,0,12,2024
7,"Kerbacher, Joe",2,0,0,0-0,0-0,0,0-0,0,12,2024
15,"Pappas, Mike",2,0,0,0-0,0-0,0,0-0,0,12,2024
,"Askew, Jordan  Askew",1,0,0,0-0,0-0,0,0-0,0,6,2024
6,"Davis, Chaz",1,0,0,0-0,0-0,0,0-0,0,6,2024
9,"III, Ernest",1,0,0,0-0,0-1,0,0-0,0,6,2024
42,"Knox, Ethen",1,0,0,0-0,0-0,0,0-0,0,6,2024
38,"Marshall, Adonis",1,0,0,0-0,0-0,0,0-0,0,6,2024
0,"Pytlak, Russell",1,0,0,0-0,0-0,0,0-0,0,6,2024
16,"Urena, Adam",0,0,0,0-0,0-0,3,3-5,0,6,2024
6,"King, Jonas",0,0,0,0-0,1-1,0,0-0,0,2,2024
,Team  Team,0,0,0,1-1,0-0,0,0-0,0,1,2024
,Total,44,7,0,31-36,1-2,3,3-6,0,324,2024
,Opponents,40,9,0,36-38,1-1,1,1-1,1,309,2024
2,"Trobel, Brian",13,0,0,0-0,1-1,0,0-0,0,80,2025
91,"Young, Max",0,6,0,21-24,0-0,0,0-0,0,39,2025
23,"Evans, Dylan",5,0,0,0-0,0-0,0,0-0,0,30,2025
6,"Dyke, Evan",3,0,0,0-0,0-0,0,0-0,0,18,2025
8,"Davison, Rylan",2,0,0,0-0,0-0,0,0-0,0,12,2025
3,"Rodriguez, Ayron",2,0,0,0-0,0-0,0,0-0,0,12,2025
22,"Gamble, Jameir",1,0,0,0-0,0-0,0,0-0,0,6,2025
7,"Kerbacher, Joe",1,0,0,0-0,0-0,0,0-0,0,6,2025
17,"Lewis, Camden",1,0,0,0-0,0-0,0,0-0,0,6,2025
83,"Wilson, Ashton",1,0,0,0-0,0-0,0,0-0,0,6,2025
4,"Wright-Rawls, Taylor",1,0,0,0-0,0-0,0,0-0,0,6,2025
12,"Gevaudan, Alex",0,0,0,0-0,0-0,1,1-1,0,2,2025
16,"Urena, Adam",0,0,0,0-0,0-0,1,1-3,0,2,2025
,Total,30,6,0,21-24,1-2,2,2-4,0,225,2025
,Opponents,34,20,0,33-34,0-0,0,0-0,0,297,2025
