date,opponent,att,yds,td,long,att,yds,td,long,yds,td,long,att,yds,td,long,att,yds,td,long
2012-08-30,Notre Dame College,30,119,1,29,14,264,4,33,264,4,33,7,276,1,86,3,80,0,49
2012-09-08,Millersville,51,379,5,43,7,108,1,52,108,1,52,1,20,0,20,0,0,0,0
2012-09-15,Clarion University,42,239,1,65,8,118,2,38,118,2,38,1,27,0,27,5,22,0,18
2012-09-22,Slippery Rock,54,254,4,59,8,184,1,51,184,1,51,3,41,0,23,1,1,0,0
2012-09-29,Cheyney University,40,221,3,19,9,181,2,43,181,2,43,4,88,0,37,2,18,0,0
2012-10-06,Lock Haven,47,170,1,13,10,75,1,13,75,1,13,3,62,0,21,1,0,0,0
2012-10-13,Gannon University,56,269,3,37,12,146,1,27,146,1,27,4,119,1,83,1,1,0,1
2012-10-20,Indiana (PA),39,143,2,56,10,125,0,37,125,0,37,4,54,0,17,2,24,0,19
2012-10-27,Edinboro,43,143,2,32,14,298,1,75,298,1,75,4,74,0,49,1,-3,0,0
2012-11-03,California (Pa.),48,209,3,39,10,191,1,48,191,1,48,2,48,0,27,1,13,0,13
2012-11-10,East Stroudsburg,38,99,3,46,16,379,3,50,379,3,50,4,157,1,97,3,1,0,3
2013-09-07,Bentley,37,163,1,24,21,216,1,26,216,1,26,4,47,0,19,1,1,0,0
2013-09-14,Millersville Univ.,37,220,4,66,17,169,2,28,169,2,28,2,38,0,19,0,0,0,0
2013-09-21,Clarion University,30,219,2,77,12,96,0,19,96,0,19,5,89,0,31,1,2,0,2
2013-09-28,Slippery Rock,40,146,2,43,15,194,1,44,194,1,44,6,113,0,31,3,44,0,24
2013-10-05,Cheyney University,40,252,4,55,17,276,5,63,276,5,63,3,72,0,29,1,1,0,0
2013-10-12,Seton Hill,41,276,3,51,14,209,3,36,209,3,36,3,105,0,44,1,5,0,5
2013-10-17,Gannon University,55,407,3,58,10,221,3,52,221,3,52,2,51,0,33,2,62,0,45
2013-10-26,Indiana Univ. of Pa.,41,199,0,28,7,58,0,23,58,0,23,3,64,0,32,1,1,0,0
2013-11-02,Edinboro University,46,266,1,41,7,87,1,61,87,1,61,3,90,0,39,0,0,0,0
2013-11-09,California (Pa.),48,199,2,38,10,99,0,15,99,0,15,4,98,0,28,2,8,0,7
2013-11-16,East Stroudsburg,44,269,3,74,14,185,1,30,185,1,30,4,155,0,59,2,26,0,14
2014-09-06,Bentley,26,44,2,11,14,106,1,37,106,1,37,5,177,0,83,3,39,0,2
2014-09-13,West Chester,22,43,0,8,17,212,1,34,212,1,34,7,146,0,34,1,4,0,4
2014-09-20,Bloomsburg,40,151,0,11,21,217,2,28,217,2,28,7,125,0,30,2,61,1,61
2014-09-27,Indiana (PA),26,34,1,9,11,117,0,47,117,0,47,6,160,0,38,1,12,0,12
2014-10-04,Clarion,32,63,1,17,14,241,3,78,241,3,78,1,22,0,22,3,34,0,9
2014-10-11,Gannon University,42,162,2,47,28,446,4,48,446,4,48,5,75,0,20,3,23,0,13
2014-10-18,Slippery Rock,37,145,1,22,25,391,5,51,391,5,51,4,105,0,41,1,0,0,0
2014-10-23,Edinboro,32,106,2,23,19,321,2,57,321,2,57,3,32,0,26,0,0,0,0
2014-11-01,Seton Hill,34,247,2,63,14,252,3,48,252,3,48,4,166,1,87,1,10,0,10
2014-11-08,California (Pa.),33,96,2,23,37,544,6,54,544,6,54,4,74,0,27,2,34,0,18
2015-09-05,Bentley,26,128,1,44,20,305,3,42,305,3,42,5,70,0,23,1,2,0,2
2015-09-12,West Chester,37,122,2,35,20,332,3,44,332,3,44,5,89,0,51,0,0,0,0
2015-09-19,Bloomsburg,25,70,0,16,16,222,3,42,222,3,42,3,82,0,37,0,0,0,0
2015-09-26,Indiana (PA),14,6,0,6,26,357,2,36,357,2,36,6,90,0,22,2,54,0,41
2015-10-03,Clarion University,30,103,0,43,27,211,4,26,211,4,26,6,133,0,37,1,0,0,0
2015-10-10,Gannon,30,104,2,19,18,187,0,29,187,0,29,4,89,0,27,1,38,0,38
2015-10-17,Slippery Rock,15,-11,0,20,39,412,3,35,412,3,35,4,77,0,24,1,4,0,4
2015-10-22,Edinboro,50,251,4,75,11,64,1,21,64,1,21,5,99,0,40,1,2,0,2
2015-10-31,Seton Hill,37,189,1,21,20,311,4,68,311,4,68,3,57,0,30,3,65,1,50
2015-11-07,California (PA),45,189,1,34,20,239,2,27,239,2,27,5,117,0,30,0,0,0,0
2015-11-14,Shippensburg,34,104,2,24,19,229,1,66,229,1,66,9,138,0,22,0,0,0,0
2016-09-01,Ashland University,28,7,0,9,15,181,0,53,181,0,53,7,214,0,49,3,10,0,5
2016-09-10,Kutztown,36,62,1,47,16,108,1,19,108,1,19,4,95,0,26,2,46,1,11
2016-09-17,East Stroudsburg,32,111,1,20,22,314,3,57,314,3,57,5,115,0,53,2,15,0,8
2016-09-24,Clarion,46,212,2,24,17,306,3,89,306,3,89,6,126,0,33,1,12,0,12
2016-10-01,Gannon University,33,139,2,46,17,213,3,69,213,3,69,5,132,0,41,2,48,0,36
2016-10-08,Slippery Rock,32,112,0,35,19,208,3,43,208,3,43,7,162,0,60,2,-1,0,8
2016-10-15,Edinboro,32,96,1,51,17,133,0,17,133,0,17,7,124,0,26,2,11,0,10
2016-10-22,Seton Hill,30,72,1,29,27,406,4,42,406,4,42,9,248,0,73,6,84,1,66
2016-10-29,California (Pa.),18,-9,1,19,18,182,0,35,182,0,35,6,133,0,32,2,77,1,16
2016-11-05,Indiana (PA),40,149,1,17,22,243,1,39,243,1,39,5,132,0,33,3,13,0,7
2016-11-12,Lock Haven,36,230,4,45,18,243,2,39,243,2,39,3,81,0,32,1,6,0,6
2017-09-02,Hillsdale,25,96,0,48,16,252,1,40,252,1,40,4,70,0,34,1,10,0,10
2017-09-09,Kutztown,30,104,1,18,21,203,1,27,203,1,27,4,57,0,19,2,14,0,12
2017-09-16,East Stroudsburg,40,174,3,53,20,277,1,61,277,1,61,3,55,0,24,0,0,0,0
2017-09-23,Clarion,25,92,1,70,20,224,2,38,224,2,38,3,71,0,28,3,13,0,11
2017-09-30,Gannon,32,82,2,42,16,315,1,43,315,1,43,3,70,0,35,1,3,0,0
2017-10-07,Slippery Rock,30,66,2,17,26,326,2,42,326,2,42,6,106,0,23,3,32,0,17
2017-10-14,Edinboro,32,113,2,28,25,172,1,24,172,1,24,4,101,0,32,4,8,0,5
2017-10-21,Seton Hill,39,292,1,73,12,131,3,19,131,3,19,2,30,0,24,0,0,0,0
2017-10-28,California (PA),25,47,2,16,21,274,1,41,274,1,41,6,125,0,35,0,0,0,0
2017-11-04,Indiana (Pa.),27,46,0,17,15,133,1,17,133,1,17,6,102,0,47,1,0,0,0
2017-11-11,Lock Haven,43,247,1,83,11,163,2,46,163,2,46,3,101,0,55,2,1,0,3
2018-09-01,Hillsdale College,31,131,0,11,18,140,1,16,140,1,16,2,46,0,29,1,5,0,5
2018-09-08,Tiffin University,28,137,1,63,20,205,1,25,205,1,25,5,128,0,39,2,9,0,6
2018-09-15,Bloomsburg,27,99,1,41,17,146,1,19,146,1,19,3,59,0,29,3,107,0,77
2018-09-22,Indiana (PA),34,92,1,41,12,174,0,32,174,0,32,6,127,0,30,1,-2,0,68
2018-09-29,Slippery Rock,31,96,2,70,15,171,1,42,171,1,42,5,125,0,27,0,0,0,0
2018-10-06,Edinboro,47,199,1,24,15,224,2,60,224,2,60,2,87,0,67,2,10,0,8
2018-10-13,Seton Hill,39,168,1,20,14,237,2,73,237,2,73,6,193,1,96,1,-1,0,0
2018-10-20,California (Pa.),26,96,0,14,14,84,0,13,84,0,13,5,122,0,39,3,7,0,4
2018-10-27,Gannon University,40,376,4,74,8,77,1,25,77,1,25,4,115,0,44,4,13,0,5
2018-11-03,Clarion,53,186,1,16,4,56,1,28,56,1,28,2,51,0,27,2,4,0,5
2018-11-10,Millersville,47,153,2,23,12,228,3,59,228,3,59,3,25,0,23,2,19,0,20
2019-09-05,Lake Erie,43,209,2,35,12,129,1,23,129,1,23,3,73,0,29,4,13,0,8
2019-09-14,Shepherd,22,21,1,17,20,311,1,45,311,1,45,2,26,0,16,1,3,0,3
2019-09-21,Bloomsburg,39,127,3,22,14,208,2,43,208,2,43,3,83,0,41,1,5,0,5
2019-09-28,IUP,23,43,0,12,17,231,3,33,231,3,33,7,217,0,45,1,13,0,13
2019-10-05,Slippery Rock,18,-12,0,10,20,174,1,41,174,1,41,6,96,0,28,2,11,0,9
2019-10-12,Edinboro,32,119,3,32,19,218,2,38,218,2,38,5,83,0,47,1,-11,0,0
2019-10-19,Seton Hill,32,118,2,31,18,216,1,42,216,1,42,5,123,0,36,0,0,0,0
2019-10-26,California (PA),34,94,0,14,16,161,2,50,161,2,50,5,127,0,38,0,0,0,0
2019-11-02,Gannon,30,110,2,19,20,355,2,80,355,2,80,2,36,0,22,1,-1,0,0
2019-11-09,Clarion,41,345,5,98,11,145,2,34,145,2,34,2,43,0,34,3,37,0,10
2019-11-16,Millersville,44,181,1,43,16,139,1,27,139,1,27,2,18,0,15,0,0,0,0
2021-04-24,Mercyhurst,35,52,1,20,19,246,2,62,246,2,62,3,60,0,26,1,1,0,1
2021-09-04,Alderson Broaddus,39,102,0,10,24,274,1,24,274,1,24,2,54,0,31,1,1,0,1
2021-09-11,West Chester,35,46,0,35,16,123,1,20,123,1,20,2,28,0,18,0,0,0,0
2021-09-18,East Stroudsburg,21,46,0,19,16,155,1,33,155,1,33,3,60,0,23,0,0,0,0
2021-09-25,Indiana (PA),19,37,0,8,27,222,1,35,222,1,35,6,115,0,23,0,0,0,0
2021-10-02,California (PA),23,7,0,8,17,99,0,16,99,0,16,7,164,0,38,1,0,0,0
2021-10-09,Seton Hill,29,51,0,12,9,145,2,68,145,2,68,1,33,0,19,0,0,0,0
2021-10-16,Edinboro,33,76,1,22,22,310,3,31,310,3,31,3,54,0,22,1,2,0,2
2021-10-23,Slippery Rock,31,111,0,13,15,111,1,18,111,1,18,4,110,0,70,1,7,0,7
2021-10-30,Clarion,44,163,1,19,15,202,3,34,202,3,34,2,8,0,8,1,1,0,1
2021-11-06,Gannon,46,177,3,32,10,101,0,25,101,0,25,4,43,0,15,2,9,0,9
2021-11-13,Shippensburg,23,26,0,5,15,263,1,50,263,1,50,3,74,0,30,2,2,0,2
2022-09-03,Alderson Broaddus,54,192,4,50,12,158,2,35,158,2,35,4,86,0,24,0,0,0,0
2022-09-10,Lock Haven,42,254,4,36,18,212,1,25,212,1,25,1,16,0,16,2,70,0,57
2022-09-17,Kutztown,38,160,2,26,15,121,2,30,121,2,30,5,141,0,38,0,0,0,0
2022-09-24,Indiana (PA),27,62,0,33,16,178,2,47,178,2,47,7,189,0,39,0,0,0,0
2022-10-01,Edinboro,37,116,1,13,13,123,0,33,123,0,33,4,50,0,27,1,6,0,6
2022-10-08,Slippery Rock,19,31,1,13,23,242,1,48,242,1,48,6,115,0,32,1,22,0,22
2022-10-15,Clarion,51,249,1,36,11,145,2,45,145,2,45,4,109,0,30,2,29,0,15
2022-10-22,Gannon,34,47,0,10,18,177,2,40,177,2,40,7,167,0,37,0,0,0,0
2022-10-29,Cal U (PA),17,-7,0,16,17,244,3,59,244,3,59,7,149,0,36,1,5,0,5
2022-11-05,Seton Hill,26,-48,0,11,18,162,0,31,162,0,31,2,64,0,33,3,26,0,18
2022-11-14,Bloomsburg,34,79,1,14,19,185,0,36,185,0,36,4,92,0,31,4,20,0,10
2023-08-31,Ferris St.,32,57,1,16,29,304,1,28,304,1,28,7,148,0,38,0,0,0,0
2023-09-09,Lock Haven,37,119,1,15,28,313,5,26,313,5,26,3,27,0,27,2,23,0,16
2023-09-16,Kutztown,19,22,0,11,24,279,2,35,279,2,35,3,50,0,23,0,0,0,0
2023-09-23,Indiana (PA),20,61,0,20,15,156,2,39,156,2,39,4,88,0,44,2,4,0,4
2023-09-30,Edinboro,19,-4,1,18,24,317,2,66,322,2,66,6,79,0,19,0,0,0,0
2023-10-07,Slippery Rock,34,221,3,45,21,197,1,26,197,1,26,6,105,0,23,0,0,0,0
2023-10-14,Clarion,35,174,2,43,18,199,3,33,199,3,33,4,97,0,59,0,0,0,0
2023-10-21,Gannon,40,92,1,13,18,242,3,57,242,3,57,4,54,0,20,1,1,0,1
2023-10-28,California (PA),25,143,1,63,15,177,2,39,177,2,39,7,161,0,32,1,3,0,3
2023-11-04,Seton Hill,31,113,0,29,17,177,0,29,177,0,29,1,20,0,20,0,0,0,0
2023-11-11,Shepherd,29,161,2,28,27,349,2,49,349,2,49,6,138,0,33,0,0,0,0
2024-08-29,Wheeling,35,151,1,37,21,267,3,44,267,3,44,4,92,0,35,1,16,0,16
2024-09-07,Howard,27,109,1,56,23,233,3,31,233,3,31,4,75,0,31,0,0,0,0
2024-09-14,Robert Morris,24,93,2,25,27,204,2,25,204,2,25,4,84,0,23,0,0,0,0
2024-09-21,Montana St.,29,20,0,19,28,213,1,26,213,1,26,1,22,0,22,1,10,0,10
2024-09-28,Frostburg St.,21,107,2,21,18,227,2,35,229,2,35,2,0,0,0,0,0,0,0
2024-10-05,Buffalo St.,27,209,0,28,28,363,7,42,363,7,42,0,0,0,0,4,107,0,55
2024-10-12,Central Connecticut,21,17,2,14,25,286,1,29,286,1,29,5,65,0,34,0,0,0,0
2024-10-26,Sacred Heart,35,125,0,39,25,229,2,21,229,2,21,3,34,0,20,0,0,0,0
2024-11-02,Duquesne,24,52,0,17,38,345,3,30,345,3,30,5,89,0,30,1,26,0,26
2024-11-09,Lincoln (CA),40,253,1,29,18,248,7,61,248,7,61,1,0,0,0,2,38,1,18
2024-11-23,Saint Francis,25,64,0,19,21,240,2,46,240,2,46,2,13,0,13,1,15,0,15
2025-08-28,Youngstown St.,24,63,0,16,32,311,2,27,311,2,27,4,84,0,35,1,6,0,6
2025-09-06,New Haven,43,268,5,41,26,379,2,35,379,2,35,1,6,0,6,1,4,0,4
2025-09-13,Sacramento St.,34,89,1,22,27,280,2,24,280,2,24,5,58,0,25,0,0,0,0
2025-09-20,Montana St.,23,58,0,28,24,205,0,37,205,0,37,2,36,0,18,1,10,0,10
2025-09-27,South Dakota St.,20,41,0,10,13,113,1,22,113,1,22,7,118,0,23,0,0,0,0
2025-10-04,LIU,39,127,2,49,24,191,1,20,191,1,20,3,57,0,22,0,0,0,0
2025-10-11,Wagner,41,159,2,22,13,191,1,76,191,1,76,2,42,0,42,2,1,0,1
2025-10-18,Duquesne,19,12,0,9,14,106,0,16,106,0,16,3,56,0,22,0,0,0,0
2025-10-25,Stonehill,19,98,0,18,30,261,2,22,261,2,22,5,93,0,33,1,2,0,2
2025-11-08,Saint Francis,20,106,1,27,22,234,1,53,234,1,53,4,109,0,55,3,7,0,7
2025-11-15,Robert Morris,33,172,2,56,19,206,1,27,206,1,27,1,8,0,8,0,0,0,0
2025-11-22,Central Conn. St.,32,269,3,63,17,188,1,31,188,1,31,6,86,0,31,1,9,0,9
